Anodizado
Fecha: 10-Jan-2014 15:43:56
Tension	Corriente
4.693333e+001	5.861960e-004
4.700000e+001	5.845900e-004
4.706667e+001	5.836380e-004
4.713333e+001	5.845330e-004
4.720000e+001	5.843340e-004
4.726667e+001	5.851780e-004
4.733333e+001	5.853430e-004
4.740000e+001	5.866320e-004
4.746667e+001	5.872560e-004
4.753333e+001	5.874290e-004
4.760000e+001	5.885560e-004
4.766667e+001	5.881140e-004
4.773333e+001	5.880560e-004
4.780000e+001	5.889520e-004
4.786667e+001	5.894510e-004
4.793333e+001	5.897890e-004
4.800000e+001	5.909290e-004
4.806667e+001	5.918630e-004
4.813333e+001	5.926660e-004
4.820000e+001	5.922420e-004
4.826667e+001	5.937160e-004
4.833333e+001	5.924550e-004
4.840000e+001	5.924620e-004
4.846667e+001	5.919120e-004
4.853333e+001	5.919550e-004
4.860000e+001	5.910470e-004
4.866667e+001	5.911970e-004
4.873333e+001	5.912040e-004
4.880000e+001	5.911210e-004
4.886667e+001	5.910700e-004
4.893333e+001	5.908340e-004
4.900000e+001	5.901030e-004
4.906667e+001	5.894750e-004
4.913333e+001	5.884260e-004
4.920000e+001	5.886950e-004
4.926667e+001	5.873820e-004
4.933333e+001	5.872290e-004
4.940000e+001	5.873800e-004
4.946667e+001	5.860690e-004
4.953333e+001	5.861060e-004
4.960000e+001	5.859960e-004
4.966667e+001	5.855680e-004
4.973333e+001	5.864420e-004
4.980000e+001	5.868630e-004
4.986667e+001	5.867890e-004
4.993333e+001	5.866660e-004
5.000000e+001	5.872110e-004
5.006667e+001	5.864660e-004
5.013333e+001	5.875950e-004
5.020000e+001	5.885400e-004
5.026667e+001	5.891580e-004
5.033333e+001	5.880180e-004
5.040000e+001	5.875870e-004
5.046667e+001	5.872740e-004
5.053333e+001	5.885250e-004
5.060000e+001	5.884470e-004
5.066667e+001	5.901820e-004
5.073333e+001	5.897110e-004
5.080000e+001	5.906930e-004
5.086667e+001	5.908060e-004
5.093333e+001	5.914140e-004
5.100000e+001	5.917930e-004
5.106667e+001	5.915770e-004
5.113333e+001	5.935970e-004
5.120000e+001	5.926250e-004
5.126667e+001	5.929200e-004
5.133333e+001	5.943330e-004
5.140000e+001	5.947090e-004
5.146667e+001	5.948510e-004
5.153333e+001	5.938870e-004
5.160000e+001	5.930530e-004
5.166667e+001	5.942690e-004
5.173333e+001	5.944700e-004
5.180000e+001	5.942730e-004
5.186667e+001	5.938570e-004
5.193333e+001	5.942050e-004
5.200000e+001	5.943630e-004
5.206667e+001	5.929080e-004
5.213333e+001	5.933410e-004
5.220000e+001	5.924180e-004
5.226667e+001	5.916870e-004
5.233333e+001	5.925470e-004
5.240000e+001	5.940290e-004
5.246667e+001	5.952670e-004
5.253333e+001	5.939590e-004
5.260000e+001	5.950300e-004
5.266667e+001	5.955620e-004
5.273333e+001	5.972110e-004
5.280000e+001	5.962380e-004
5.286667e+001	5.966990e-004
5.293333e+001	5.935480e-004
5.300000e+001	5.938070e-004
5.306667e+001	5.945960e-004
5.313333e+001	5.936640e-004
5.320000e+001	5.953930e-004
5.326667e+001	5.957900e-004
5.333333e+001	5.958870e-004
5.340000e+001	5.967060e-004
5.346667e+001	5.976910e-004
5.353333e+001	5.986240e-004
5.360000e+001	5.966420e-004
5.366667e+001	5.975890e-004
5.373333e+001	5.972600e-004
5.380000e+001	5.954760e-004
5.386667e+001	5.954560e-004
5.393333e+001	5.955790e-004
5.400000e+001	5.941560e-004
5.406667e+001	5.947480e-004
5.413333e+001	5.945900e-004
5.420000e+001	5.954320e-004
5.426667e+001	5.953690e-004
5.433333e+001	5.956810e-004
5.440000e+001	5.957940e-004
5.446667e+001	5.965530e-004
5.453333e+001	5.966240e-004
5.460000e+001	5.973640e-004
5.466667e+001	5.973860e-004
5.473333e+001	5.982940e-004
5.480000e+001	5.975690e-004
5.486667e+001	5.979750e-004
5.493333e+001	5.990270e-004
5.500000e+001	5.985530e-004
5.506667e+001	5.982920e-004
5.513333e+001	5.963740e-004
5.520000e+001	5.944750e-004
5.526667e+001	5.934010e-004
5.533333e+001	5.932110e-004
5.540000e+001	5.929080e-004
5.546667e+001	5.922220e-004
5.553333e+001	5.927420e-004
5.560000e+001	5.939900e-004
5.566667e+001	5.926030e-004
5.573333e+001	5.916640e-004
5.580000e+001	5.922600e-004
5.586667e+001	5.929310e-004
5.593333e+001	5.915860e-004
5.600000e+001	5.920140e-004
5.606667e+001	5.908500e-004
5.613333e+001	5.919420e-004
